matched_user_product_original,jumia_price,totshoppe_price,peekaboo_price,min_price_across_sources,max_price_across_sources,avg_price_across_sources
aptamil stage 1 first infant milk powder 800 g,3750.0,1800.0,3540.0,1800.0,3750.0,3030.0
kendamil organic follow on milk 6-12 months 800 g,3840.0,1200.0,,1200.0,3840.0,2520.0
aptamil stage 3 toddler milk powder 800 g,2399.0,3800.0,,2399.0,3800.0,3100.0
aptamil stage 2 follow on milk powder 800 g,3750.0,3800.0,,3750.0,3800.0,3775.0
cow and gate creamy porridge 4-6 months 125 g,1500.0,1200.0,,1200.0,1500.0,1350.0
kendamil organic first infant milk 800 g,,5000.0,,5000.0,5000.0,5000.0
aptamil creamed porridge 4 month plus 125 g,1999.0,1400.0,,1400.0,1999.0,1700.0
hipp organic combiotic follow on milk 800 g,,5000.0,5799.0,5000.0,5799.0,5400.0
hipp organic 3 growing up milk 600 g,3840.0,5000.0,1850.0,1850.0,5000.0,3563.0
aptamil creamed banana 125 g,1999.0,1000.0,,1000.0,1999.0,1500.0
waterwipes bathing and skin care sensitive newborn skin 1 pk 60 unscented wipes,,600.0,,600.0,600.0,600.0
hipp organic 1 first milk powder 800 g,,6000.0,5799.0,5799.0,6000.0,5900.0
mamia sensitive bathing and skin care 64 bathing and skin care,622.0,2800.0,695.0,622.0,2800.0,1372.0
little angels sensitive baby 64 wipes,150.0,1200.0,320.0,150.0,1200.0,557.0
nannycare growing up milk goat milk based 3 from 1 to 3 years 900 g,8060.0,,3500.0,3500.0,8060.0,5780.0
nannycare 2 follow on milk goat milk based from 6 months 900 g,,,9999.0,9999.0,9999.0,9999.0
nannycare 1 formula first infant goat milk 900 g 0-6 months,4000.0,,1470.0,1470.0,4000.0,2735.0
